epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.311,1.41564,2.84128,1.47169,0.96294,0.22055,0.36465,0.20659,1.43442,2.49878,1.47158,0.000299633,0.000299633,0.000299633
2,27.4181,1.42063,1.52933,1.45232,0.56241,0.51503,0.47138,0.24656,1.44404,1.33333,1.48861,0.000598656,0.000598656,0.000598656
3,40.3085,1.41813,1.36912,1.43046,0.51096,0.50123,0.50951,0.25978,1.49696,1.27061,1.51337,0.000893679,0.000893679,0.000893679
4,52.9296,1.39012,1.30342,1.42268,0.61616,0.55254,0.5703,0.29399,1.47285,1.2256,1.51199,0.000891002,0.000891002,0.000891002
5,65.5559,1.38227,1.23967,1.40483,0.59909,0.5601,0.55981,0.29446,1.48822,1.29842,1.53039,0.000885002,0.000885002,0.000885002
6,77.8711,1.38059,1.18096,1.4015,0.64674,0.59308,0.61858,0.31922,1.4523,1.10292,1.46523,0.000879003,0.000879003,0.000879003
7,90.3791,1.35355,1.152,1.38873,0.64431,0.61907,0.63102,0.33364,1.42246,1.06397,1.45408,0.000873004,0.000873004,0.000873004
8,102.854,1.33487,1.09937,1.37161,0.62061,0.64936,0.62295,0.31996,1.45059,1.10095,1.46203,0.000867004,0.000867004,0.000867004
9,115.322,1.34733,1.08449,1.37532,0.6583,0.64855,0.65363,0.35011,1.42713,1.0388,1.443,0.000861005,0.000861005,0.000861005
10,127.795,1.3204,1.06047,1.36201,0.61412,0.6524,0.64795,0.34186,1.40821,1.05444,1.43273,0.000855005,0.000855005,0.000855005
11,140.288,1.33772,1.04458,1.35702,0.6543,0.65835,0.65843,0.34637,1.39356,1.01503,1.42449,0.000849006,0.000849006,0.000849006
12,152.915,1.31103,1.01758,1.35382,0.60293,0.66276,0.64515,0.33125,1.48042,1.07189,1.46474,0.000843007,0.000843007,0.000843007
13,165.433,1.31874,1.00434,1.342,0.67189,0.66151,0.66189,0.34633,1.4224,1.01463,1.43068,0.000837007,0.000837007,0.000837007
14,177.882,1.28382,0.97364,1.34057,0.64495,0.64552,0.65379,0.34541,1.42088,1.02699,1.44922,0.000831008,0.000831008,0.000831008
15,190.486,1.28606,0.95824,1.32125,0.66344,0.6882,0.67597,0.36165,1.40982,0.95023,1.42617,0.000825008,0.000825008,0.000825008
16,202.958,1.28331,0.94825,1.33138,0.67539,0.6828,0.68541,0.36271,1.39893,0.93094,1.42588,0.000819009,0.000819009,0.000819009
17,215.587,1.2742,0.91901,1.32457,0.66343,0.67579,0.67062,0.3537,1.40483,0.94951,1.42052,0.00081301,0.00081301,0.00081301
18,227.979,1.26974,0.91704,1.31399,0.66648,0.69383,0.68964,0.37378,1.38333,0.93392,1.40213,0.00080701,0.00080701,0.00080701
19,240.69,1.26206,0.9183,1.31462,0.62271,0.70046,0.67734,0.366,1.37388,0.91317,1.40051,0.000801011,0.000801011,0.000801011
20,253.187,1.27108,0.91555,1.32511,0.64708,0.69647,0.67586,0.36257,1.40022,0.92592,1.40191,0.000795011,0.000795011,0.000795011
21,265.668,1.25023,0.89753,1.31358,0.68317,0.70166,0.69978,0.38365,1.38763,0.88414,1.39408,0.000789012,0.000789012,0.000789012
22,278.123,1.24907,0.88048,1.29503,0.70485,0.72322,0.72052,0.38832,1.36929,0.87174,1.39453,0.000783013,0.000783013,0.000783013
23,290.836,1.23355,0.86831,1.30061,0.66705,0.70251,0.69565,0.37641,1.38269,0.88832,1.39183,0.000777013,0.000777013,0.000777013
24,303.515,1.25496,0.86614,1.29969,0.71907,0.70602,0.70414,0.38156,1.37718,0.88577,1.39445,0.000771014,0.000771014,0.000771014
25,316.185,1.23351,0.85368,1.28618,0.68636,0.68418,0.71,0.38948,1.35237,0.86597,1.37139,0.000765014,0.000765014,0.000765014
26,328.672,1.22929,0.86098,1.2932,0.67535,0.70259,0.7084,0.38237,1.36562,0.88426,1.39647,0.000759015,0.000759015,0.000759015
27,341.204,1.22058,0.83991,1.28808,0.63713,0.73201,0.70192,0.38919,1.37088,0.84117,1.37975,0.000753016,0.000753016,0.000753016
28,353.738,1.22686,0.8387,1.28634,0.68915,0.70222,0.70499,0.378,1.38699,0.87021,1.39392,0.000747016,0.000747016,0.000747016
29,366.053,1.2257,0.83184,1.28387,0.68681,0.71075,0.70879,0.38565,1.3698,0.84087,1.37665,0.000741017,0.000741017,0.000741017
30,378.455,1.21026,0.81283,1.27837,0.66818,0.67581,0.67752,0.37104,1.40535,0.86725,1.41941,0.000735017,0.000735017,0.000735017
31,391.009,1.20649,0.81653,1.27096,0.64811,0.72342,0.69218,0.38056,1.36907,0.86801,1.38393,0.000729018,0.000729018,0.000729018
32,403.726,1.20786,0.8138,1.27959,0.69191,0.67859,0.70441,0.38208,1.36995,0.86234,1.37549,0.000723019,0.000723019,0.000723019
33,416.401,1.20692,0.80693,1.27364,0.68702,0.69621,0.70618,0.37847,1.40336,0.89233,1.40595,0.000717019,0.000717019,0.000717019
34,428.976,1.21077,0.80729,1.26947,0.65185,0.71231,0.69289,0.38467,1.37891,0.85999,1.38958,0.00071102,0.00071102,0.00071102
35,443.511,1.19293,0.79359,1.26779,0.70393,0.71905,0.72028,0.39799,1.3728,0.82685,1.38089,0.00070502,0.00070502,0.00070502
36,457.771,1.18378,0.78124,1.25318,0.68347,0.70733,0.6981,0.38602,1.39015,0.85161,1.39877,0.000699021,0.000699021,0.000699021
37,470.99,1.19927,0.7902,1.2671,0.69259,0.72211,0.71902,0.39529,1.37613,0.81913,1.38595,0.000693022,0.000693022,0.000693022
38,483.707,1.17246,0.76677,1.25081,0.66277,0.7385,0.72215,0.38554,1.37949,0.8505,1.39546,0.000687022,0.000687022,0.000687022
39,496.358,1.17917,0.76586,1.25865,0.66197,0.71552,0.70528,0.38707,1.39075,0.83522,1.40484,0.000681023,0.000681023,0.000681023
40,509.003,1.16897,0.75936,1.24527,0.65259,0.74921,0.71008,0.3875,1.37084,0.82697,1.3893,0.000675023,0.000675023,0.000675023
41,521.651,1.17369,0.76948,1.25971,0.69908,0.71404,0.72316,0.39619,1.35534,0.81723,1.37733,0.000669024,0.000669024,0.000669024
42,534.564,1.178,0.76293,1.25288,0.67599,0.7176,0.70446,0.38733,1.37244,0.81097,1.38293,0.000663025,0.000663025,0.000663025
43,547.566,1.15796,0.74093,1.24095,0.68982,0.73855,0.71546,0.39212,1.37661,0.81105,1.39097,0.000657025,0.000657025,0.000657025
44,560.713,1.15945,0.73647,1.24424,0.68284,0.74621,0.72803,0.39772,1.38625,0.80664,1.3883,0.000651026,0.000651026,0.000651026
