epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.4808,1.39392,2.7157,1.42213,0.41485,0.50086,0.34417,0.19342,1.386,1.79944,1.46711,0.000301007,0.000301007,0.000301007
2,45.0788,1.37205,1.7815,1.39036,0.38177,0.57875,0.37771,0.20446,1.41976,1.61387,1.4824,0.00060002,0.00060002,0.00060002
3,66.0587,1.38264,1.67982,1.36627,0.43884,0.59018,0.39736,0.2114,1.44963,1.50333,1.49186,0.000895034,0.000895034,0.000895034
4,86.7834,1.3667,1.61194,1.36276,0.40282,0.6373,0.42544,0.22855,1.43545,1.51915,1.48609,0.000891002,0.000891002,0.000891002
5,107.606,1.35831,1.55036,1.35961,0.39615,0.66416,0.40689,0.22257,1.40541,1.4692,1.44727,0.000885002,0.000885002,0.000885002
6,128.472,1.34987,1.50178,1.34521,0.42372,0.64972,0.44667,0.24904,1.39108,1.38684,1.42469,0.000879003,0.000879003,0.000879003
7,149.15,1.33638,1.45725,1.33429,0.42204,0.66691,0.44369,0.24254,1.39455,1.39801,1.44233,0.000873004,0.000873004,0.000873004
8,169.95,1.3277,1.42469,1.32537,0.42956,0.68391,0.46171,0.26046,1.36665,1.32894,1.3901,0.000867004,0.000867004,0.000867004
9,191.016,1.29746,1.38588,1.30068,0.45155,0.6937,0.47045,0.26431,1.36483,1.29728,1.39063,0.000861005,0.000861005,0.000861005
10,211.942,1.29447,1.36634,1.3194,0.42958,0.69858,0.45694,0.26085,1.35133,1.31031,1.3954,0.000855005,0.000855005,0.000855005
11,232.957,1.29626,1.36673,1.30885,0.43388,0.73055,0.46509,0.2574,1.39763,1.31059,1.41244,0.000849006,0.000849006,0.000849006
12,254.245,1.28865,1.33673,1.29734,0.44756,0.68752,0.45493,0.25628,1.36947,1.29929,1.39495,0.000843007,0.000843007,0.000843007
13,275.25,1.27544,1.315,1.28764,0.42361,0.66318,0.47261,0.26355,1.35548,1.29954,1.3928,0.000837007,0.000837007,0.000837007
14,296.042,1.27335,1.30331,1.29734,0.44472,0.75068,0.47419,0.27145,1.36068,1.26284,1.37535,0.000831008,0.000831008,0.000831008
15,316.906,1.25964,1.28498,1.27918,0.4494,0.7155,0.47426,0.26256,1.35357,1.27501,1.3929,0.000825008,0.000825008,0.000825008
16,337.678,1.25243,1.27085,1.27061,0.43486,0.72937,0.46196,0.25664,1.37954,1.28757,1.40812,0.000819009,0.000819009,0.000819009
17,358.365,1.2457,1.26442,1.27278,0.4497,0.72743,0.49144,0.28254,1.32776,1.22297,1.36219,0.00081301,0.00081301,0.00081301
18,379.011,1.25332,1.26412,1.26717,0.45078,0.72385,0.47813,0.27231,1.34709,1.22458,1.37342,0.00080701,0.00080701,0.00080701
19,399.861,1.24357,1.25675,1.26316,0.45145,0.74184,0.49384,0.29138,1.32715,1.20945,1.3694,0.000801011,0.000801011,0.000801011
20,420.464,1.2412,1.23492,1.25863,0.45051,0.71355,0.48194,0.27479,1.34447,1.22954,1.37426,0.000795011,0.000795011,0.000795011
