epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.634,1.45958,1.55875,1.50916,0.5403,0.2794,0.23745,0.09219,2.15777,2.85463,2.18986,0.0806819,0.000597468,0.000597468
2,179.855,1.46606,1.32012,1.49231,0.52815,0.29408,0.3287,0.12905,2.19067,2.52645,2.17783,0.0612818,0.00119738,0.00119738
3,354.634,1.4137,1.2392,1.47226,0.35685,0.53127,0.38289,0.15203,2.08306,4.25095,2.06893,0.0418813,0.00179692,0.00179692
4,451.474,1.35208,1.17726,1.4308,0.39984,0.51268,0.43904,0.17586,2.15825,1.96023,2.13752,0.0224802,0.00239583,0.00239583
5,598.902,1.3085,1.13276,1.40143,0.47475,0.52751,0.47064,0.19948,2.14891,2.01223,2.07341,0.00307821,0.00299382,0.00299382
6,720.687,1.25357,1.02221,1.35978,0.56528,0.58807,0.53755,0.24006,1.85486,2.877,1.87661,0.0029943,0.0029943,0.0029943
7,879.333,1.19595,0.97732,1.3282,0.6341,0.58821,0.59768,0.27003,1.88583,1.67181,1.93392,0.00299179,0.00299179,0.00299179
8,1048.72,1.16008,0.92674,1.298,0.64514,0.68955,0.64363,0.29268,1.86219,1.34911,1.88113,0.00298883,0.00298883,0.00298883
9,1187.67,1.13337,0.89798,1.29259,0.6092,0.60335,0.60419,0.28675,1.85195,1.54567,1.91243,0.00298542,0.00298542,0.00298542
10,1295.29,1.08569,0.85442,1.25756,0.63929,0.64067,0.62433,0.3021,1.80866,1.35619,1.85221,0.00298155,0.00298155,0.00298155
11,1435.54,1.05268,0.82883,1.23059,0.70602,0.63345,0.67804,0.33676,1.80888,1.2017,1.89697,0.00297723,0.00297723,0.00297723
12,1534.88,1.03322,0.79726,1.22606,0.64825,0.65933,0.64421,0.3107,1.8129,1.34955,1.9218,0.00297247,0.00297247,0.00297247
13,1694.65,1.00367,0.78143,1.20586,0.6891,0.64962,0.66817,0.32505,1.78317,1.2883,1.82113,0.00296725,0.00296725,0.00296725
14,1820.63,0.96321,0.74834,1.18633,0.62839,0.71422,0.66832,0.31251,1.84071,1.25721,1.93001,0.00296159,0.00296159,0.00296159
15,1929.36,0.93116,0.72066,1.17425,0.71215,0.60722,0.6309,0.30493,1.78974,1.27075,1.87965,0.00295549,0.00295549,0.00295549
16,2047.59,0.95362,0.74715,1.18515,0.73234,0.67643,0.73066,0.36585,1.71901,1.16365,1.80749,0.00294894,0.00294894,0.00294894
17,2131.96,0.90992,0.71924,1.16521,0.66558,0.72685,0.69632,0.33783,1.80377,1.16766,1.91972,0.00294195,0.00294195,0.00294195
18,2200.47,0.89911,0.68895,1.15059,0.71657,0.66546,0.70864,0.34964,1.74084,1.10153,1.82413,0.00293452,0.00293452,0.00293452
19,2330.89,0.89029,0.69124,1.14083,0.69972,0.69807,0.71777,0.3547,1.72658,1.09195,1.8,0.00292666,0.00292666,0.00292666
20,2434.49,0.88151,0.67707,1.13228,0.6606,0.74127,0.71074,0.34177,1.76882,1.07321,1.8884,0.00291836,0.00291836,0.00291836
21,2555.17,0.86362,0.66144,1.12925,0.64243,0.68621,0.68774,0.33698,1.75126,1.28367,1.84293,0.00290963,0.00290963,0.00290963
22,2675.06,0.84907,0.6629,1.13153,0.69648,0.70192,0.72039,0.36042,1.69286,1.22708,1.79408,0.00290047,0.00290047,0.00290047
23,2787.73,0.82682,0.64815,1.1223,0.75796,0.67728,0.72487,0.37052,1.66627,1.09173,1.72234,0.00289089,0.00289089,0.00289089
