epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.8293,1.23767,1.46827,1.30699,0.49807,0.74021,0.61511,0.3198,1.95072,1.40432,1.64291,0.0701266,0.00331927,0.00331927
2,115.192,1.03125,0.75328,1.12729,0.57995,0.72624,0.61647,0.30254,1.94767,1.86195,1.65128,0.0401259,0.00665188,0.00665188
3,171.846,1.02854,0.76765,1.12994,0.64059,0.7162,0.66695,0.32713,1.75334,1.41657,1.59172,0.0101222,0.0099816,0.0099816
4,250.913,1.0139,0.75997,1.12756,0.72084,0.52598,0.64603,0.31952,1.74934,1.6189,1.58699,0.00999023,0.00999023,0.00999023
5,363.901,1.01912,0.73738,1.12834,0.62044,0.6536,0.62613,0.28784,1.99337,1.38006,1.7481,0.00998264,0.00998264,0.00998264
6,471.409,0.96285,0.7049,1.1043,0.68257,0.7256,0.71504,0.35107,1.80341,1.12286,1.65473,0.00997288,0.00997288,0.00997288
7,577.192,0.91891,0.67209,1.08292,0.69089,0.70079,0.69965,0.3512,1.77811,1.17193,1.666,0.00996097,0.00996097,0.00996097
8,684.594,0.87808,0.63531,1.06694,0.7173,0.71248,0.71501,0.36169,1.72656,1.09645,1.62495,0.0099469,0.0099469,0.0099469
9,756.709,0.87086,0.6343,1.0678,0.69391,0.72689,0.72313,0.36789,1.7128,1.0791,1.61607,0.00993068,0.00993068,0.00993068
10,798.895,0.83539,0.61079,1.04858,0.71424,0.71127,0.73253,0.37195,1.72771,1.02509,1.61786,0.00991232,0.00991232,0.00991232
11,840.038,0.81913,0.59562,1.03972,0.69189,0.71345,0.71402,0.35801,1.77575,1.03472,1.67795,0.00989183,0.00989183,0.00989183
12,884.816,0.78673,0.58035,1.03279,0.67925,0.75313,0.73508,0.3764,1.70979,1.16943,1.60386,0.00986922,0.00986922,0.00986922
13,926.429,0.77136,0.5594,1.03139,0.76211,0.73677,0.76336,0.40379,1.678,0.95652,1.60257,0.00984449,0.00984449,0.00984449
14,968.579,0.76994,0.56706,1.02871,0.73885,0.74666,0.77753,0.40977,1.65386,0.92628,1.61405,0.00981765,0.00981765,0.00981765
15,1012.43,0.73789,0.54315,1.00669,0.77614,0.74583,0.7777,0.41202,1.64978,0.97297,1.6088,0.00978873,0.00978873,0.00978873
16,1055.13,0.72365,0.5313,1.00838,0.7348,0.77552,0.78356,0.41146,1.67297,0.94387,1.62489,0.00975773,0.00975773,0.00975773
17,1098.8,0.71915,0.52726,1.00341,0.71261,0.73243,0.75595,0.38796,1.6792,0.98384,1.59287,0.00972466,0.00972466,0.00972466
18,1141.23,0.69978,0.50375,0.99603,0.74179,0.78544,0.77284,0.39231,1.68366,0.94163,1.59321,0.00968955,0.00968955,0.00968955
19,1182.5,0.68298,0.49914,0.99479,0.75783,0.75132,0.78696,0.41796,1.64992,0.929,1.57244,0.00965239,0.00965239,0.00965239
20,1225.43,0.69884,0.50784,0.99551,0.75584,0.77032,0.78635,0.4061,1.70195,0.92247,1.62732,0.00961322,0.00961322,0.00961322
21,1268.77,0.66945,0.4857,0.983,0.75796,0.74412,0.79217,0.41238,1.66972,0.91402,1.57757,0.00957205,0.00957205,0.00957205
22,1310.8,0.67862,0.50538,0.99422,0.77156,0.71874,0.77503,0.40181,1.65903,0.96885,1.56894,0.00952889,0.00952889,0.00952889
23,1353.93,0.66141,0.48839,0.98869,0.77844,0.71896,0.78833,0.42174,1.65883,0.89292,1.59016,0.00948377,0.00948377,0.00948377
24,1397.53,0.65531,0.48522,0.98237,0.77085,0.758,0.80732,0.4247,1.66826,0.89733,1.59716,0.00943671,0.00943671,0.00943671
25,1441.83,0.64276,0.46631,0.97536,0.76878,0.77281,0.80062,0.42712,1.65823,0.85163,1.57316,0.00938772,0.00938772,0.00938772
26,1484.76,0.64614,0.48021,0.98214,0.77396,0.7879,0.81805,0.43814,1.58605,0.94921,1.51289,0.00933683,0.00933683,0.00933683
27,1526.78,0.63041,0.46504,0.9774,0.76451,0.76158,0.78499,0.4121,1.62803,0.87559,1.5678,0.00928405,0.00928405,0.00928405
28,1569.05,0.62368,0.46256,0.97317,0.72561,0.76675,0.79379,0.40573,1.68444,0.8731,1.61625,0.00922942,0.00922942,0.00922942
29,1610.89,0.60287,0.44069,0.96148,0.76387,0.7891,0.81885,0.43511,1.66279,0.8375,1.58122,0.00917296,0.00917296,0.00917296
30,1652.73,0.60706,0.44871,0.96911,0.74473,0.80111,0.81712,0.44047,1.6192,0.86197,1.55343,0.00911469,0.00911469,0.00911469
31,1696.19,0.60464,0.44985,0.96489,0.7506,0.81799,0.80989,0.43154,1.63221,0.85929,1.58496,0.00905463,0.00905463,0.00905463
32,1740.89,0.59761,0.4432,0.96226,0.77267,0.77452,0.81277,0.43749,1.6274,0.86519,1.55931,0.00899282,0.00899282,0.00899282
33,1783.85,0.58824,0.4335,0.95645,0.75685,0.738,0.77527,0.40532,1.67754,0.91491,1.58868,0.00892928,0.00892928,0.00892928
34,1829.38,0.57981,0.43046,0.95531,0.7343,0.82508,0.81307,0.44977,1.58331,0.84803,1.53022,0.00886404,0.00886404,0.00886404
35,1873.32,0.58942,0.43163,0.9566,0.74835,0.77257,0.78174,0.41133,1.62965,0.8853,1.55772,0.00879713,0.00879713,0.00879713
36,1914.73,0.57759,0.42183,0.95146,0.7753,0.78927,0.81146,0.44399,1.57765,0.83667,1.53315,0.00872857,0.00872857,0.00872857
37,1959.27,0.5694,0.42598,0.94775,0.71753,0.82868,0.80915,0.4368,1.60924,0.83991,1.55008,0.00865839,0.00865839,0.00865839
38,2001.72,0.56265,0.41358,0.94838,0.79617,0.76725,0.81816,0.45214,1.59173,0.82125,1.51001,0.00858664,0.00858664,0.00858664
